category,dest_rel,rel,filename,width,height,viewBox,size,colors
design-system,reference-svg/design-system/036_13_-_Spacing.svg,Choice FinX Design (4)/13 - Spacing.svg,13 - Spacing.svg,1440,1109,0 0 1440 1109,80024,4
design-system,reference-svg/design-system/037_13_-_Spacing-1.svg,Choice FinX Design (4)/13 - Spacing-1.svg,13 - Spacing-1.svg,1440,1109,0 0 1440 1109,80026,5
design-system,reference-svg/design-system/038_14_-_Toast.svg,Choice FinX Design (4)/14 - Toast.svg,14 - Toast.svg,1440,806,0 0 1440 806,498460,12
design-system,reference-svg/design-system/039_14_-_Toast-1.svg,Choice FinX Design (4)/14 - Toast-1.svg,14 - Toast-1.svg,1440,806,0 0 1440 806,498462,11
design-system,reference-svg/design-system/040_10_-_Graph.svg,Choice FinX Design (4)/10 - Graph.svg,10 - Graph.svg,1440,2596,0 0 1440 2596,445269,24
design-system,reference-svg/design-system/041_10_-_Graph-1.svg,Choice FinX Design (4)/10 - Graph-1.svg,10 - Graph-1.svg,1440,2596,0 0 1440 2596,445216,21
design-system,reference-svg/design-system/042_5_-_Table.svg,Choice FinX Design (4)/5 - Table.svg,5 - Table.svg,1440,10970,0 0 1440 10970,3141758,21
design-system,reference-svg/design-system/043_5_-_Table-1.svg,Choice FinX Design (4)/5 - Table-1.svg,5 - Table-1.svg,1440,10970,0 0 1440 10970,3141734,18
design-system,reference-svg/design-system/044_listing_components.svg,Choice FinX Design (4)/listing components.svg,listing components.svg,1440,16538,0 0 1440 16538,5332572,30
design-system,reference-svg/design-system/045_listing_components-1.svg,Choice FinX Design (4)/listing components-1.svg,listing components-1.svg,1440,18728,0 0 1440 18728,5330931,26
design-system,reference-svg/design-system/046_15_-_Bottom_Sheet.svg,Choice FinX Design (4)/15 - Bottom Sheet.svg,15 - Bottom Sheet.svg,1440,2075,0 0 1440 2075,487588,12
design-system,reference-svg/design-system/047_15_-_Bottom_Sheet-1.svg,Choice FinX Design (4)/15 - Bottom Sheet-1.svg,15 - Bottom Sheet-1.svg,1440,2320,0 0 1440 2320,485588,12
design-system,reference-svg/design-system/048_16_-_Tool_Tip.svg,Choice FinX Design (4)/16 - Tool Tip.svg,16 - Tool Tip.svg,1440,348,0 0 1440 348,104402,4
design-system,reference-svg/design-system/049_16_-_Tool_Tip-1.svg,Choice FinX Design (4)/16 - Tool Tip-1.svg,16 - Tool Tip-1.svg,1440,348,0 0 1440 348,104351,6
design-system,reference-svg/design-system/050_Company_Detail_Page.svg,Choice FinX Design (4)/Company Detail Page.svg,Company Detail Page.svg,393,3288,0 0 393 3288,1635130,26
design-system,reference-svg/design-system/051_Company_Detail_Page_light_grey_option.svg,Choice FinX Design (4)/Company Detail Page light grey option.svg,Company Detail Page light grey option.svg,393,3288,0 0 393 3288,1635247,25
design-system,reference-svg/design-system/052_Radio_Button.svg,Choice FinX Design (4)/12 - Check box /Radio Button.svg,Radio Button.svg,1440,1935,0 0 1440 1935,227705,14
design-system,reference-svg/design-system/053_Radio_Button-1.svg,Choice FinX Design (4)/12 - Check box /Radio Button-1.svg,Radio Button-1.svg,1440,1935,0 0 1440 1935,227610,11
screens-misc,reference-svg/screens-misc/054_Rectangle_51.svg,Choice FinX Design (6)/Rectangle 51.svg,Rectangle 51.svg,388,861,0 0 388 861,153,0
screens-misc,reference-svg/screens-misc/055_Frame_46.svg,Choice FinX Design (6)/Frame 46.svg,Frame 46.svg,300,162,0 0 300 162,72813,6
screens-misc,reference-svg/screens-misc/056_Frame_47.svg,Choice FinX Design (6)/Frame 47.svg,Frame 47.svg,300,194,0 0 300 194,94279,8
screen-onboarding-login,reference-svg/screen-onboarding-login/057_On_Boarding.svg,Choice FinX Design (6)/On Boarding.svg,On Boarding.svg,2734,1412,0 0 2734 1412,628606,9
screens-misc,reference-svg/screens-misc/058_Frame_42.svg,Choice FinX Design (6)/Frame 42.svg,Frame 42.svg,353,152,0 0 353 152,138873,6
screen-order-flow,reference-svg/screen-order-flow/059_Order_Page_-_Delivery.svg,Choice FinX Design (6)/Order Page - Delivery.svg,Order Page - Delivery.svg,393,852,0 0 393 852,168847,11
screen-order-flow,reference-svg/screen-order-flow/060_Order_Page_-_Delivery-1.svg,Choice FinX Design (6)/Order Page - Delivery-1.svg,Order Page - Delivery-1.svg,393,852,0 0 393 852,189486,13
screens-misc,reference-svg/screens-misc/061_Frame_21.svg,Choice FinX Design (6)/Frame 21.svg,Frame 21.svg,396,48,0 0 396 48,24076,4
screens-misc,reference-svg/screens-misc/062_image_7.svg,Choice FinX Design (6)/image 7.svg,image 7.svg,506,1041,0 0 506 1041,817165,0
screens-misc,reference-svg/screens-misc/063_image_5.svg,Choice FinX Design (6)/image 5.svg,image 5.svg,351,782,0 0 351 782,156260,0
screen-order-flow,reference-svg/screen-order-flow/064_Order_Page_-_Delivery-2.svg,Choice FinX Design (6)/Order Page - Delivery-2.svg,Order Page - Delivery-2.svg,393,852,0 0 393 852,165883,11
screen-company-detail,reference-svg/screen-company-detail/065_Company_Detail_Page.svg,Choice FinX Design (6)/Company Detail Page.svg,Company Detail Page.svg,393,2237,0 0 393 2237,545360,17
screen-company-detail,reference-svg/screen-company-detail/066_Company_Detail_Page-1.svg,Choice FinX Design (6)/Company Detail Page-1.svg,Company Detail Page-1.svg,393,2237,0 0 393 2237,271746,15
screens-misc,reference-svg/screens-misc/067_Frame_48.svg,Choice FinX Design (6)/Frame 48.svg,Frame 48.svg,393,381,0 0 393 381,65880,5
screens-misc,reference-svg/screens-misc/068_image_2.svg,Choice FinX Design (6)/image 2.svg,image 2.svg,393,871,0 0 393 871,203254,0
screen-watchlist,reference-svg/screen-watchlist/069_Watchlist.svg,Choice FinX Design (6)/Watchlist.svg,Watchlist.svg,2147,3159,0 0 2147 3159,2052554,18
screen-portfolio,reference-svg/screen-portfolio/070_Portfolio.svg,Choice FinX Design (6)/Portfolio.svg,Portfolio.svg,2672,1638,0 0 2672 1638,1666600,18
screen-order-flow,reference-svg/screen-order-flow/071_Order.svg,Choice FinX Design (6)/Order.svg,Order.svg,4379,1143,0 0 4379 1143,3159699,17
screen-order-flow,reference-svg/screen-order-flow/072_Order-1.svg,Choice FinX Design (6)/Order-1.svg,Order-1.svg,393,852,0 0 393 852,214286,11
screens-misc,reference-svg/screens-misc/073_Frame_186.svg,Choice FinX Design (6)/Frame 186.svg,Frame 186.svg,352,48,0 0 352 48,18558,7
screens-misc,reference-svg/screens-misc/074_image_1.svg,Choice FinX Design (6)/image 1.svg,image 1.svg,2048,1536,0 0 2048 1536,883180,0
screen-company-detail,reference-svg/screen-company-detail/075_Mobile_Company_Fundamental_page_1.svg,Choice FinX Design (6)/Mobile Company Fundamental page (1).svg,Mobile Company Fundamental page (1).svg,1151,4096,0 0 1151 4096,704999,0
screen-company-detail,reference-svg/screen-company-detail/076_Mobile_Company_page_technical_section_1.svg,Choice FinX Design (6)/Mobile Company page technical section (1).svg,Mobile Company page technical section (1).svg,1220,2712,0 0 1220 2712,258440,0
screen-portfolio,reference-svg/screen-portfolio/077_Mobile_Portfolio_page_1.svg,Choice FinX Design (6)/Mobile Portfolio page (1).svg,Mobile Portfolio page (1).svg,1220,2712,0 0 1220 2712,376576,0
screens-misc,reference-svg/screens-misc/078_Screenshot_20250121-132008.Choice_FinX.svg,Choice FinX Design (6)/Screenshot_20250121-132008.Choice FinX.svg,Screenshot_20250121-132008.Choice FinX.svg,1220,2712,0 0 1220 2712,349340,0
screens-misc,reference-svg/screens-misc/079_image_3.svg,Choice FinX Design (6)/image 3.svg,image 3.svg,396,867,0 0 396 867,225978,0
screens-misc,reference-svg/screens-misc/080_image_4.svg,Choice FinX Design (6)/image 4.svg,image 4.svg,389,862,0 0 389 862,218878,0
screens-misc,reference-svg/screens-misc/081_image_6.svg,Choice FinX Design (6)/image 6.svg,image 6.svg,394,865,0 0 394 865,221693,0
screens-misc,reference-svg/screens-misc/082_Screenshot_20250328_104229_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250328_104229_Choice 1.svg,Screenshot_20250328_104229_Choice 1.svg,720,1600,0 0 720 1600,83589,0
screens-misc,reference-svg/screens-misc/083_Other_Pages.svg,Choice FinX Design (6)/Other Pages.svg,Other Pages.svg,5441,2499,0 0 5441 2499,7400795,34
screens-misc,reference-svg/screens-misc/084_Screenshot_2025-04-17_at_9.21.05_PM_1.svg,Choice FinX Design (6)/Screenshot 2025-04-17 at 9.21.05 PM 1.svg,Screenshot 2025-04-17 at 9.21.05 PM 1.svg,349,747,0 0 349 747,123316,0
screens-misc,reference-svg/screens-misc/085_Frame_108.svg,Choice FinX Design (6)/Frame 108.svg,Frame 108.svg,353,232,0 0 353 232,58195,5
screens-misc,reference-svg/screens-misc/086_Frame_187.svg,Choice FinX Design (6)/Frame 187.svg,Frame 187.svg,353,162,0 0 353 162,138947,2
screens-misc,reference-svg/screens-misc/087_image_25.svg,Choice FinX Design (6)/image 25.svg,image 25.svg,725,590,0 0 725 590,407438,0
screen-recommendations,reference-svg/screen-recommendations/088_Recommendations.svg,Choice FinX Design (6)/Recommendations.svg,Recommendations.svg,393,1183,0 0 393 1183,459250,16
screen-more-profile,reference-svg/screen-more-profile/089_Profile.svg,Choice FinX Design (6)/Profile.svg,Profile.svg,393,987,0 0 393 987,3843250,8
screen-reports,reference-svg/screen-reports/090_Profit_and_Loss_Report.svg,Choice FinX Design (6)/Profit and Loss Report.svg,Profit and Loss Report.svg,393,852,0 0 393 852,248409,8
screen-market,reference-svg/screen-market/091_Market.svg,Choice FinX Design (6)/Market.svg,Market.svg,393,1304,0 0 393 1304,357820,10
screens-misc,reference-svg/screens-misc/092_image_22.svg,Choice FinX Design (6)/image 22.svg,image 22.svg,428,952,0 0 428 952,106018,0
