category,dest_rel,rel,filename,width,height,viewBox,size,colors
screen-funds-bank,reference-svg/screen-funds-bank/155_Deposit.svg,Choice FinX Design (6)/Deposit.svg,Deposit.svg,393,852,0 0 393 852,239472,10
screen-more-profile,reference-svg/screen-more-profile/156_Profile-1.svg,Choice FinX Design (6)/Profile-1.svg,Profile-1.svg,393,863,0 0 393 863,3843143,7
screens-misc,reference-svg/screens-misc/157_image_20.svg,Choice FinX Design (6)/image 20.svg,image 20.svg,1080,1920,0 0 1080 1920,156816,0
screens-misc,reference-svg/screens-misc/158_Image_20250409_152208_004.svg,Choice FinX Design (6)/Image_20250409_152208_004.svg,Image_20250409_152208_004.svg,1220,2712,0 0 1220 2712,788632,0
screens-misc,reference-svg/screens-misc/159_Image_20250409_152208_076.svg,Choice FinX Design (6)/Image_20250409_152208_076.svg,Image_20250409_152208_076.svg,1220,2712,0 0 1220 2712,690296,0
screens-misc,reference-svg/screens-misc/160_Image_20250409_152208_171.svg,Choice FinX Design (6)/Image_20250409_152208_171.svg,Image_20250409_152208_171.svg,941,4096,0 0 941 4096,1276614,0
screen-order-flow,reference-svg/screen-order-flow/161_MF_Place_Order_-_On_click_of_the_Mutual_Fund_scheme_click_need_to_open_MF_Place_Order_page_shown_o__878787.svg,"Choice FinX Design (6)/MF Place Order - On click of the Mutual Fund scheme click, need to open MF Place Order page % shown on the MF Company page, label is not shown CAGR 3Y Company Page _ The % shown with 1D, this not required. Company Page _ Expense Ratio is not shown..svg","MF Place Order - On click of the Mutual Fund scheme click, need to open MF Place Order page % shown on the MF Company page, label is not shown CAGR 3Y Company Page _ The % shown with 1D, this not required. Company Page _ Expense Ratio is not shown..svg",573,176,0 0 573 176,435538,1
screen-company-detail,reference-svg/screen-company-detail/162_Company_Detail_Page-2.svg,Choice FinX Design (6)/Company Detail Page-2.svg,Company Detail Page-2.svg,393,2293,0 0 393 2293,1031950,21
screens-misc,reference-svg/screens-misc/163_Frame_165.svg,Choice FinX Design (6)/Frame 165.svg,Frame 165.svg,616,162,0 0 616 162,148009,7
screens-misc,reference-svg/screens-misc/164_image_23.svg,Choice FinX Design (6)/image 23.svg,image 23.svg,720,1600,0 0 720 1600,377724,0
screen-company-detail,reference-svg/screen-company-detail/165_Open_and_Close_card._Status_wise_5_card_Technical_Card._Open_2._Closed_Call_Stop_Loss_Hit_Exit_Cal__825499.svg,"Choice FinX Design (6)/Open and Close card. Status wise 5 card Technical Card. Open 2. Closed Call _ Stop Loss Hit, Exit Call, Target Achived, Book Profit.svg","Open and Close card. Status wise 5 card Technical Card. Open 2. Closed Call _ Stop Loss Hit, Exit Call, Target Achived, Book Profit.svg",294,92,0 0 294 92,101530,0
screens-misc,reference-svg/screens-misc/166_IMG-20250415-WA0002_1.svg,Choice FinX Design (6)/IMG-20250415-WA0002 1.svg,IMG-20250415-WA0002 1.svg,720,1600,0 0 720 1600,87973,0
screens-misc,reference-svg/screens-misc/167_IMG-20250417-WA0004.svg,Choice FinX Design (6)/IMG-20250417-WA0004.svg,IMG-20250417-WA0004.svg,720,1600,0 0 720 1600,102665,0
screen-company-detail,reference-svg/screen-company-detail/168_Company_Detail_Page_Recommendation.svg,Choice FinX Design (6)/Company Detail Page Recommendation.svg,Company Detail Page Recommendation.svg,393,1475,0 0 393 1475,685911,16
screen-more-profile,reference-svg/screen-more-profile/169_View_More.svg,Choice FinX Design (6)/View More.svg,View More.svg,99,20,0 0 99 20,5003,1
screens-misc,reference-svg/screens-misc/170_Toolbar.svg,Choice FinX Design (6)/Toolbar.svg,Toolbar.svg,393,95,0 0 393 95,27413,3
screen-order-flow,reference-svg/screen-order-flow/171_Order_Flow.svg,Choice FinX Design (6)/Company/Order Flow.svg,Order Flow.svg,8578,3582,0 0 8578 3582,8169164,39
screens-misc,reference-svg/screens-misc/172_Signup.svg,Choice FinX Design (6)/Login/Signup.svg,Signup.svg,4260,1412,0 0 4260 1412,1094477,16
screens-misc,reference-svg/screens-misc/173_Cheque_Info.svg,Choice FinX Design (6)/NEFT/RTGS/Cheque Info.svg,Cheque Info.svg,393,1166,0 0 393 1166,473384,7
screen-funds-bank,reference-svg/screen-funds-bank/174_NEFT_page_is_not_easily_highlighted_Banks_Page_-_Set_Autopay_button_is_not_provided_User_needs_to___124355.svg,"Choice FinX Design (6)/More Page - We will not be able to show the user photo Profit and Loss Report - How will the column look if there is loss_ Where is the option to download the P&L Report_ How will the Segment filter can be applied - Equity, Commodity, Currency Recommendat/NEFT page is not easily highlighted Banks Page - Set Autopay button is not provided User needs to click 2 time to see details Ledger Details - Are we going to provided drop down to switch from ledger to P&L Report_ Others Page - The unpledge label.svg",NEFT page is not easily highlighted Banks Page - Set Autopay button is not provided User needs to click 2 time to see details Ledger Details - Are we going to provided drop down to switch from ledger to P&L Report_ Others Page - The unpledge label.svg,1271,2656,0 0 1271 2656,2198687,2
screens-misc,reference-svg/screens-misc/175_Default.svg,Choice FinX Design (6)/Frame 187/Default.svg,Default.svg,56,24,0 0 56 24,9923,2
